code,funding,fundpop,fundeq,fundpov,fundter,pop,popurb,cases,shp2,dep,mun,area,party,trfpop,dens,infpop,quintile,grp,agr
0414,705311.4099999999,335907.62817586097,182919.8454961832,142454.437690794,44029.512490373,10897,7.1,35,73,La Libertad,Chiltiupán,96.66,ARENA,64.72528310544186,0.11273536105938341,3.2118931816096175,4,2,3
0415,400777.75,173877.6803043957,182919.8454961832,36869.7268691691,7110.49456729488,6897,59.1,147,82,La Libertad,Nuevo Cuscatlán,51.61,FMLN-CD-PSD-PSP,58.10899666521676,0.13363689207517923,21.313614615050025,2,1,1
0416,689142.58,348105.219057929,182919.8454961832,131224.2542244122,26893.2585043619,13544,29.2,77,90,La Libertad,Tamanique,29.72,GANA-FMLN-CD,50.88176166568222,0.4557200538358008,5.685174246898995,3,2,3
0417,598924.94,311920.04644955404,182919.8454961832,92597.11229252041,11487.938961382239,12299,80.3,50,85,La Libertad,Sacacoyo,25.22,ARENA,48.697043662086344,0.4876685170499604,4.065371168387673,3,2,3
0418,527407.44,246159.7036796163,182919.8454961832,83514.7235052529,14813.154338784709,13576,79.1,348,86,La Libertad,San José Villanueva,32.52,ARENA,38.84851502651738,0.41746617466174657,25.63347083087802,3,1,1
0419,759271.21,441253.239453073,182919.8454961832,124753.5122065842,10344.60760559043,22525,80.1,203,93,La Libertad,Zaragoza,22.71,ARENA,33.70793385127636,0.9918538088947599,9.012208657047724,4,3,2
0420,469263.28,210358.3586901978,182919.8454961832,62447.336421385,13537.73159128787,8254,59.2,30,89,La Libertad,Talnique,59.04,ARENA,56.852832566028596,0.13980352303523033,3.63460140537921,2,2,3
0421,530972.45,249930.0515295455,182919.8454961832,74194.6543611418,23927.890366431762,7314,16,24,87,La Libertad,San Matías,52.53,ARENA,72.5967254580257,0.13923472301541975,3.281378178835111,3,2,3
0422,461678.44,187600.3949113455,182919.8454961832,71603.187682586,19555.00808929975,5116,8.2,14,79,La Libertad,Jicalapa,42.93,ARENA,90.24207193119625,0.11917074307011415,2.7365129007036746,2,4,4
0501,1491212.52,873987.535115496,182919.8454961832,370647.743195729,63657.394450958294,73064,70.5,1106,265,Usulután,Usulután,139.75,ARENA,20.409675353115077,0.522819320214669,15.137413774225337,5,1,1
