"year","month","office","unit","line","source","object","approved","modified","reserved","accrued"
"2020","01","0400","01","0101","1","51201",17217.0,17217.0,16986.65,16986.65
"2020","01","0400","01","0101","1","51401",33.0,33.0,14.95,14.95
"2020","01","0400","01","0101","1","51402",1102.0,1102.0,907.7,907.7
"2020","01","0400","01","0101","1","51501",34.0,34.0,15.45,15.45
"2020","01","0400","01","0101","1","51502",1334.0,1334.0,1122.04,1122.04
"2020","01","0400","01","0101","1","51702",11470.0,11470.0,11466.58,11466.58
"2020","01","0400","01","0101","1","54101",175.0,129.2,129.2,129.2
"2020","01","0400","01","0101","1","54105",300.0,0.0,0.0,0.0
"2020","01","0400","01","0101","1","54114",200.0,0.0,0.0,0.0
"2020","01","0400","01","0101","1","54115",0.0,169.2,169.2,169.2
"2020","01","0400","01","0101","1","54201",2675.0,2675.0,2675.0,2675.0
"2020","01","0400","01","0101","1","54202",700.0,1099.66,1099.66,1099.66
"2020","01","0400","01","0101","1","54203",1100.0,720.95,720.95,720.95
"2020","01","0400","01","0101","1","54301",500.0,0.0,0.0,0.0
"2020","01","0400","01","0101","1","54306",1650.0,3133.94,3133.94,3133.94
"2020","01","0400","01","0101","1","54307",1080.0,997.0,997.0,997.0
"2020","01","0400","01","0101","1","54316",0.0,256.24,256.24,256.24
"2020","01","0400","01","0101","1","54317",4655.0,0.0,0.0,0.0
"2020","01","0400","01","0101","1","55507",107.0,103.36,103.36,103.36
"2020","01","0400","01","0101","1","55508",0.0,28.86,28.86,28.86
"2020","01","0400","01","0102","1","51101",901.0,901.0,0.0,0.0
"2020","01","0400","01","0102","1","51201",5101.0,5101.0,4861.02,4861.02
"2020","01","0400","01","0102","1","51401",67.0,67.0,0.0,0.0
"2020","01","0400","01","0102","1","51402",292.0,292.58,292.58,292.58
"2020","01","0400","01","0102","1","51501",70.0,70.0,0.0,0.0
"2020","01","0400","01","0102","1","51502",395.0,395.34,395.34,395.34
"2020","01","0400","01","0102","1","54306",166.0,166.0,166.0,166.0
"2020","01","0400","01","0102","1","54503",0.0,4850.0,4850.0,4850.0
"2020","01","0400","01","0102","1","55507",41.0,0.0,0.0,0.0
"2020","01","0400","01","0102","1","56304",3900.0,0.0,0.0,0.0
