"CODIGO";"NOMBRE"
"332310";"Fabricación de instrumentos y materiales médicos y odontológicos"
"332311";"Fabricación de lápices, bolígrafos, sellos y artículos de librería en general"
"332312";"Fabricación de escobas, cepillos, pinceles y similares"
"332313";"Fabricación de artesanías de materiales diversos"
"332314";"Fabricación de artículos de uso personal y domésticos n.c.p."
"332315";"Fabricación de accesorios para las confecciones y la marroquinería n.c.p."
"332316";"Servicios de maquila ncp"
"332317";"Fabricación de productos manufacturados n.c.p."
"3324";"REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO"
"332401";"Reparación y mantenimiento de productos elaborados de metal"
"332402";"Reparación y mantenimiento de maquinaria"
"332403";"Reparación y mantenimiento de equipo electrónico y óptico"
"332404";"Reparación y mantenimiento  de equipo eléctrico"
"332405";"Reparación y mantenimiento de equipo de transporte, excepto vehículos automotores"
"332406";"Reparación y mantenimiento de equipos n.c.p."
"332407";"Otros servicios de reparación no clasificados previamente"
"332408";"Instalación de maquinaria y equipo industrial"
"34";"SUMINISTROS DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
"3401";"SUMINISTROS DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
"340101";"Generación de energía eléctrica"
"340102";"Transmisión de energía eléctrica"
"340103";"Distribución de energía Eléctrica"
"340104";"Generación y distribución de energía eléctrica"
"340105";"Fabricación de gas, distribución de combustibles gaseosos por tuberías"
"340106";"Suministro de vapor y agua caliente"
"35";"SUMINISTRO DE AGUA, EVACUACIÓN DE AGUAS RESIDUALES (ALCANTARILLADO); GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO"
"3501";"CAPTACIÓN, TRATAMIENTO Y SUMINISTRO DE AGUA"
"350101";"Captación, tratamiento y suministro de agua"
"3502";"EVACUACIÓN DE AGUAS RESIDUALES (ALCANTARILLADO)"
"350201";"Evacuación de aguas residuales (alcantarillado)"
"3503";"RECOLECCIÓN, TRATAMIENTO Y ELIMINACIÓN DE DESECHOS; RECICLAJE"
"350301";"Recolección y transporte de desechos sólidos proveniente de hogares y  sector urbano"
"350302";"Recolección de desechos peligrosos"
"350303";"Tratamiento y eliminación de desechos inicuos"
"350304";"Tratamiento y eliminación de desechos peligrosos"
"350305";"Reciclaje de desperdicios y desechos textiles"
"350306";"Reciclaje de desperdicios y desechos de plástico y caucho"
"350307";"Reciclaje de desperdicios y desechos de vidrio"
"350308";"Reciclaje de desperdicios y desechos de papel y cartón"
"350309";"Reciclaje de desperdicios y desechos metálicos"
"350310";"Reciclaje de desperdicios y desechos no metálicos  n.c.p."
"3504";"ACTIVIDADES DE SANEAMIENTO Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS"
"350401";"Actividades de Saneamiento y otros Servicios de Gestión de Desechos"
"36";"CONSTRUCCIÓN"
"3601";"CONSTRUCCIÓN DE EDIFICIOS"
"360101";"Construcción de edificios residenciales"
"360102";"Construcción de edificios no residenciales"
"360103";"Construcción de casa y edificios"
"3602";"OBRAS DE INGENIERÍA CIVIL"
"360201";"Construcción de carreteras, calles y caminos"
"360202";"Construcción de proyectos de servicio público"
"360203";"Construcción de obras de ingeniería civil n.c.p."
"3603";"ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN"
"360301";"Demolición"
"360302";"Preparación de terreno"
"360303";"Instalaciones eléctricas"
"360304";"Instalación de fontanería, calefacción y aire acondicionado"
"360305";"Otras instalaciones para obras de construcción"
"360306";"Terminación y acabado de edificios"
"360307";"Otras actividades especializadas de construcción"
"360308";"Fabricación de techos y materiales diversos"
"37";"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
"3701";"COMERCIO AL POR MAYOR Y AL POR MENOR Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
"370101";"Venta de vehículos automotores "
"370102";"Venta de vehículos automotores y motocicletas"
"370103";"Reparación mecánica de vehículos automotores"
"370104";"Reparaciones eléctricas del automotor y recarga de baterías"
